,Type,Rating,Effects,thc_max,cbd_max,high_thc,balanced,high_cbd,Focused,Giggly,Creative,Uplifted,Talkative,Happy,Energetic,Euphoric,Tingly,None,Relaxed,Hungry,Sleepy,Aroused,sativa,indica,hybrid
1252,hybrid,3.9,"['Relaxed', 'Hungry', 'Happy', 'Euphoric', 'Uplifted']",21.58238328125,0.2858159375,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1
823,hybrid,4.4,"['Relaxed', 'Euphoric', 'Uplifted', 'Happy', 'Creative']",22.35586,0.07016,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1
263,hybrid,4.3,"['Euphoric', 'Uplifted', 'Relaxed', 'Tingly', 'Happy']",25.840926220735792,0.18004110033444817,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1
636,hybrid,4.2,"['Relaxed', 'Happy', 'Euphoric', 'Uplifted', 'Hungry']",18.474098947368425,0.16849421052631572,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1
180,hybrid,4.7,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Hungry']",34.60509455555557,0.26240100000000005,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1
1205,hybrid,4.7,"['Happy', 'Relaxed', 'Focused', 'Euphoric', 'Energetic']",19.653044,0.14968260000000003,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1
1307,hybrid,4.2,"['Uplifted', 'Relaxed', 'Happy', 'Energetic', 'Euphoric']",7.325169111111111,46.39624244444444,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1
450,hybrid,4.4,"['Focused', 'Happy', 'Relaxed', 'Euphoric', 'Sleepy']",28.974998,0.096,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1
151,hybrid,4.4,"['Relaxed', 'Happy', 'Uplifted', 'Euphoric', 'Creative']",28.62514847268811,0.32218850323931886,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1
1214,hybrid,4.5,"['Relaxed', 'Sleepy', 'Happy', 'Uplifted', 'Energetic']",20.564799999999998,0.2177,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
306,hybrid,4.4,"['Euphoric', 'Uplifted', 'Energetic', 'Focused', 'Creative']",29.34691088888889,0.2235178095238096,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
164,hybrid,4.5,"['Relaxed', 'Happy', 'Uplifted', 'Euphoric', 'Giggly']",25.28779578366448,0.23672370198675527,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1
